date,open,high,low,close,volume
2017-12-26,4.772025,4.888711,4.742111,4.881047,355080000.000000
2017-12-27,4.867698,4.943593,4.853112,4.874372,329488000.000000
2017-12-28,4.898106,4.929008,4.873879,4.880059,240248000.000000
2017-12-29,4.906264,4.906264,4.783644,4.783644,279964000.000000
2018-01-02,4.840010,4.931975,4.808367,4.928267,355616000.000000
2018-01-03,5.045695,5.283023,5.037042,5.252615,914704000.000000
2018-01-04,5.333951,5.390563,5.258055,5.280304,583268000.000000
2018-01-05,5.295136,5.362379,5.218251,5.325049,580124000.000000
2018-01-08,5.448656,5.562375,5.403662,5.488211,881216000.000000
2018-01-09,5.493651,5.533205,5.405147,5.486729,497000000.000000
2018-01-10,5.394269,5.533205,5.339881,5.529744,582664000.000000
2018-01-11,5.562377,5.593774,5.518125,5.539634,406032000.000000
2018-01-12,5.527769,5.562132,5.471898,5.512441,359916000.000000
2018-01-16,5.538892,5.624429,5.356940,5.441488,702348000.000000
2018-01-17,5.456073,5.565343,5.362131,5.555455,538408000.000000
2018-01-18,5.536172,5.602920,5.505023,5.548533,408632000.000000
2018-01-19,5.638767,5.712932,5.611821,5.688705,609380000.000000
2018-01-22,5.696615,5.778938,5.639013,5.777207,550944000.000000
2018-01-23,5.830607,5.928999,5.812066,5.906256,475228000.000000
2018-01-24,5.909469,5.945316,5.773747,5.829371,579972000.000000
2018-01-25,5.883759,5.927023,5.828136,5.842969,409884000.000000
2018-01-26,5.886725,6.015772,5.873870,6.015525,516356000.000000
2018-01-29,6.000941,6.133696,5.948284,6.102547,455116000.000000
2018-01-30,5.960643,6.091915,5.893895,6.000445,570832000.000000
2018-01-31,6.075846,6.162372,6.043213,6.076588,478576000.000000
2018-02-01,5.896614,6.103782,5.885242,5.945563,519224000.000000
2018-02-02,5.859037,5.883017,5.714909,5.773005,718464000.000000
2018-02-05,5.611823,5.765839,5.067945,5.283024,1165204000.000000
2018-02-06,5.053112,5.579683,5.043223,5.576717,1114800000.000000
2018-02-07,5.675603,5.808853,5.604404,5.656320,802932000.000000
2018-02-08,5.781906,5.815032,5.377211,5.377459,1144000000.000000
2018-02-09,5.889940,5.905761,5.377459,5.737407,1674604000.000000
2018-02-12,5.818492,5.821459,5.563118,5.637282,1093172000.000000
2018-02-13,5.600942,5.797232,5.568557,5.751003,625524000.000000
2018-02-14,5.710708,5.997232,5.699583,5.968308,744988000.000000
2018-02-15,6.051619,6.140122,5.970779,6.093893,698900000.000000
2018-02-16,6.066700,6.180419,6.018987,6.028134,637656000.000000
2018-02-20,6.050629,6.226648,6.046921,6.157674,686240000.000000
